episode,environment_steps,episode_steps,scenario_id,condition,success,collision,budget_cutoff,return,epsilon,demo_samples_cumulative,online_samples_cumulative,visible_dynamic_steps_cumulative,reference_risk_steps_cumulative,sampled_visible_dynamic_cumulative,risk_samples_cumulative,risk_buffer_size,risk_marked_total,risk_coverage_count,handover_progress,proposed_risk_steps_cumulative,intervention_steps_cumulative,teacher_fallback_steps_cumulative,teacher_unavailable_steps_cumulative,teacher_cache_hits_cumulative,teacher_planner_calls_cumulative,action_margin_candidate_steps_cumulative,action_margin_labeled_steps_cumulative,action_margin_safe_labels_cumulative,action_margin_blocked_labels_cumulative,action_margin_mean_loss,action_margin_batch_items_cumulative,safe_samples_cumulative,safe_buffer_size,safe_coverage_count
10,640,80,pair_013_n3_013_control,control,1,0,0,12.46,0.298935,10240,30720,401,4,684,0,0,0,0,0.0,0,0,0,0,0,0,640,4,15,4,0.004989133775234222,4,0,0,0
11,712,72,pair_005_n5_005_control,control,0,1,0,1.2900000000000014,0.298815,11392,34176,444,4,837,0,0,0,0,0.0,0,0,0,0,0,0,712,4,15,4,0.00554534625471308,5,0,0,0
12,717,5,pair_015_n3_015_conflict,conflict,0,1,0,-0.99,0.29880666666666666,11472,34416,449,4,849,0,0,0,0,0.0,0,0,0,0,0,0,717,4,15,4,0.00550667577873879,5,0,0,0
13,807,90,pair_005_n3_005_control,control,0,1,0,1.3100000000000018,0.2986566666666667,12912,38736,498,4,1084,0,0,0,0,0.0,0,0,0,0,0,0,807,4,15,4,0.007840327318420789,8,0,0,0
14,809,2,pair_015_n3_015_control,control,0,1,0,-0.96,0.2986533333333333,12944,38832,500,4,1091,0,0,0,0,0.0,0,0,0,0,0,0,809,4,15,4,0.007820944556199723,8,0,0,0
15,817,8,pair_004_n5_004_control,control,0,1,0,-0.9199999999999999,0.29864,13072,39216,508,4,1107,0,0,0,0,0.0,0,0,0,0,0,0,817,4,15,4,0.007744362479762027,8,0,0,0
16,848,31,pair_010_n5_010_control,control,0,1,0,-0.2499999999999999,0.29858833333333334,13568,40704,521,4,1197,0,0,0,0,0.0,0,0,0,0,0,0,848,4,15,4,0.007461254889110349,8,0,0,0
17,937,89,pair_001_n3_001_conflict,conflict,1,0,0,12.370000000000001,0.29844,14992,44976,558,4,1439,0,0,0,0,0.0,0,0,0,0,0,0,937,4,15,4,0.008145092645602394,10,0,0,0
18,1039,102,pair_012_n5_012_conflict,conflict,1,0,0,12.240000000000002,0.29827,16624,49872,627,4,1759,0,0,0,0,0.0,0,0,0,0,0,0,1039,4,15,4,0.00895598625425425,12,0,0,0
19,1138,99,pair_011_n3_011_control,control,0,1,0,1.2200000000000015,0.298105,18208,54624,678,5,2110,0,0,0,0,0.0,0,0,0,0,0,0,1138,5,19,5,0.00938858466324362,14,0,0,0
20,1145,7,pair_011_n5_011_control,control,0,1,0,-0.81,0.2980933333333333,18320,54960,685,5,2144,0,0,0,0,0.0,0,0,0,0,0,0,1145,5,19,5,0.010491483596735126,17,0,0,0
21,1150,5,pair_017_n5_017_conflict,conflict,0,1,0,-0.84,0.298085,18400,55200,690,5,2163,0,0,0,0,0.0,0,0,0,0,0,0,1150,5,19,5,0.010445868450662364,17,0,0,0
22,1179,29,pair_003_n5_003_conflict,conflict,0,1,0,-0.53,0.29803666666666667,18864,56592,703,5,2253,0,0,0,0,0.0,0,0,0,0,0,0,1179,5,19,5,0.010188930210569736,19,0,0,0
23,1184,5,pair_015_n5_015_conflict,conflict,0,1,0,-0.84,0.29802833333333334,18944,56832,708,6,2272,0,0,0,0,0.0,0,0,0,0,0,0,1184,6,23,6,0.010145902633666992,19,0,0,0
24,1303,119,pair_015_n5_015_control,control,1,0,0,12.07,0.29783,20848,62544,763,6,2725,0,0,0,0,0.0,0,0,0,0,0,0,1303,6,23,6,0.009703481005231692,21,0,0,0
25,1555,252,pair_009_n5_009_control,control,0,1,0,-0.36000000000000054,0.29741,24880,74640,858,6,3889,0,0,0,0,0.0,0,0,0,0,0,0,1555,6,23,6,0.010287686866196022,32,0,0,0
26,1617,62,pair_010_n5_010_conflict,conflict,0,1,0,-0.36000000000000043,0.29730666666666666,25872,77616,905,6,4208,0,0,0,0,0.0,0,0,0,0,0,0,1617,6,23,6,0.010048759226896326,35,0,0,0
27,1652,35,pair_003_n3_003_control,control,0,1,0,-0.5900000000000003,0.29724833333333334,26432,79296,936,6,4402,0,0,0,0,0.0,0,0,0,0,0,0,1652,6,23,6,0.009835861785648521,35,0,0,0
28,1952,300,pair_003_n3_003_conflict,conflict,0,0,0,-0.3000000000000007,0.29674833333333334,31232,93696,979,6,6038,0,0,0,0,0.0,0,0,0,0,0,0,1952,6,23,6,0.008519519547947118,51,0,0,0
29,2050,98,pair_010_n3_010_conflict,conflict,0,1,0,1.180000000000001,0.296585,32800,98400,1003,6,6546,0,0,0,0,0.0,0,0,0,0,0,0,2050,6,23,6,0.008112244954923305,55,0,0,0
30,2113,63,pair_014_n3_014_conflict,conflict,0,1,0,-0.9700000000000003,0.29647999999999997,33808,101424,1066,7,6918,0,0,0,0,0.0,0,0,0,0,0,0,2113,7,26,7,0.00787037489710969,58,0,0,0
31,2230,117,pair_017_n3_017_control,control,1,0,0,12.090000000000002,0.29628499999999997,35680,107040,1138,8,7646,0,0,0,0,0.0,0,0,0,0,0,0,2230,8,29,8,0.007589533510764084,68,0,0,0
32,2235,5,pair_016_n5_016_conflict,conflict,0,1,0,-0.84,0.29627666666666663,35760,107280,1143,9,7670,0,0,0,0,0.0,0,0,0,0,0,0,2235,9,33,9,0.007572554688592352,68,0,0,0
33,2535,300,pair_000_n3_000_conflict,conflict,0,0,0,-0.20000000000000154,0.29577666666666663,40560,121680,1292,9,9713,0,0,0,0,0.0,0,0,0,0,0,0,2535,9,33,9,0.006716519041644516,85,0,0,0
34,2537,2,pair_008_n5_008_conflict,conflict,0,1,0,-0.96,0.29577333333333333,40592,121776,1294,9,9725,0,0,0,0,0.0,0,0,0,0,0,0,2537,9,33,9,0.006711224190212395,85,0,0,0
35,2744,207,pair_004_n5_004_conflict,conflict,0,1,0,0.0900000000000003,0.29542833333333335,43904,131712,1401,9,11232,0,0,0,0,0.0,0,0,0,0,0,0,2744,9,33,9,0.006204947438253953,90,0,0,0
36,3044,300,pair_000_n3_000_control,control,0,0,0,-0.15000000000000097,0.29492833333333335,48704,146112,1558,9,13649,0,0,0,0,0.0,0,0,0,0,0,0,3044,9,33,9,0.005645457924430536,103,0,0,0
37,3269,225,pair_011_n3_011_conflict,conflict,0,1,0,-0.040000000000000036,0.29455333333333333,52304,156912,1606,12,15642,0,0,0,0,0.0,0,0,0,0,0,0,3269,12,45,12,0.0052568901566125885,118,0,0,0
38,3277,8,pair_016_n3_016_control,control,0,1,0,-0.87,0.29453999999999997,52432,157296,1614,13,15721,0,0,0,0,0.0,0,0,0,0,0,0,3277,13,49,13,0.005244056735418539,118,0,0,0
39,3363,86,pair_006_n5_006_control,control,0,1,0,1.3000000000000016,0.29439666666666664,53808,161424,1659,13,16482,0,0,0,0,0.0,0,0,0,0,0,0,3363,13,49,13,0.005109953589642151,126,0,0,0
40,3509,146,pair_001_n5_001_conflict,conflict,0,1,0,0.6500000000000006,0.2941533333333333,56144,168432,1770,13,17880,0,0,0,0,0.0,0,0,0,0,0,0,3509,13,49,13,0.0048973422405148345,140,0,0,0
41,3809,300,pair_013_n5_013_control,control,0,0,0,0.05000000000000521,0.2936533333333333,60944,182832,1971,13,21028,0,0,0,0,0.0,0,0,0,0,0,0,3809,13,49,13,0.004571870481852128,158,0,0,0
42,3813,4,pair_002_n3_002_control,control,0,1,0,-0.88,0.29364666666666667,61008,183024,1975,13,21069,0,0,0,0,0.0,0,0,0,0,0,0,3813,13,49,13,0.004567074394276096,158,0,0,0
43,4113,300,pair_008_n3_008_control,control,0,0,0,-2.450000000000001,0.29314666666666667,65808,197424,1996,13,24350,0,0,0,0,0.0,0,0,0,0,0,0,4113,13,49,13,0.004239463759778684,179,0,0,0
44,4413,300,pair_006_n3_006_conflict,conflict,0,0,0,0.049999999999999316,0.29264666666666667,70608,211824,2036,13,27691,0,0,0,0,0.0,0,0,0,0,0,0,4413,13,49,13,0.003951260920908617,201,0,0,0
45,4713,300,pair_017_n3_017_conflict,conflict,0,0,0,0.10000000000000137,0.29214666666666667,75408,226224,2275,13,31240,0,0,0,0,0.0,0,0,0,0,0,0,4713,13,49,13,0.0037055133938561726,218,0,0,0
46,5013,300,pair_001_n3_001_control,control,0,0,0,-1.0000000000000004,0.29164666666666667,80208,240624,2553,13,35272,0,0,0,0,0.0,0,0,0,0,0,0,5013,13,49,13,0.0034837591512555635,240,0,0,0
47,5019,6,pair_004_n3_004_control,control,0,1,0,-0.8,0.29163666666666666,80304,240912,2559,13,35362,0,0,0,0,0.0,0,0,0,0,0,0,5019,13,49,13,0.0034795944660777327,240,0,0,0
48,5073,54,pair_000_n5_000_conflict,conflict,0,1,0,-0.98,0.2915466666666667,81168,243504,2613,14,36190,0,0,0,0,0.0,0,0,0,0,0,0,5073,14,52,14,0.003442555613097603,241,0,0,0
49,5373,300,pair_002_n3_002_conflict,conflict,0,0,0,-1.500000000000001,0.2910466666666667,85968,257904,2895,14,40774,0,0,0,0,0.0,0,0,0,0,0,0,5373,14,52,14,0.0032917083407965936,263,0,0,0
50,5550,177,pair_002_n5_002_control,control,0,1,0,0.49,0.29075166666666663,88800,266400,3005,14,43604,0,0,0,0,0.0,0,0,0,0,0,0,5550,14,52,14,0.0031867295342522697,269,0,0,0
51,5850,300,pair_007_n3_007_control,control,0,0,0,0.0499999999999997,0.29025166666666663,93600,280800,3287,17,48758,0,0,0,0,0.0,0,0,0,0,0,0,5850,17,64,17,0.0030540582868787977,287,0,0,0
52,5863,13,pair_002_n5_002_conflict,conflict,0,1,0,-0.82,0.29023,93808,281424,3300,18,48995,0,0,0,0,0.0,0,0,0,0,0,0,5863,18,68,18,0.0030472865390143216,290,0,0,0
53,5871,8,pair_007_n3_007_conflict,conflict,0,1,0,-0.87,0.2902166666666667,93936,281808,3308,18,49138,0,0,0,0,0.0,0,0,0,0,0,0,5871,18,68,18,0.003043134215336564,290,0,0,0
